,coord,country,id,name
6237,"{'lon': 76.966667, 'lat': 10.36667}",IN,1253472,Valparai
6238,"{'lon': 72.900002, 'lat': 22.533331}",IN,1253482,Vallabh Vidyanagar
6239,"{'lon': 71.866669, 'lat': 21.883329}",IN,1253512,Valabhipur
6240,"{'lon': 76.400002, 'lat': 9.76667}",IN,1253544,Vaikam
6241,"{'lon': 74.73333, 'lat': 19.91667}",IN,1253545,Vaijapur
6242,"{'lon': 72.633331, 'lat': 23.783331}",IN,1253577,Vadnagar
6243,"{'lon': 79.800003, 'lat': 14.31667}",IN,1253578,Vadlapudi
6244,"{'lon': 77.949997, 'lat': 10.08333}",IN,1253579,Vadippatti
6245,"{'lon': 78.083328, 'lat': 10.46667}",IN,1253595,Vadamadurai
6246,"{'lon': 73.133331, 'lat': 19.65}",IN,1253610,Vada
6247,"{'lon': 79.76667, 'lat': 12.6}",IN,1253623,Uttiramerur
6248,"{'lon': 77.333328, 'lat': 9.8}",IN,1253635,Uttamapalaiyam
6249,"{'lon': 82.416672, 'lat': 27.316669}",IN,1253638,Utraula
6250,"{'lon': 75.566673, 'lat': 23.33333}",IN,1253754,Unhel
6251,"{'lon': 76.283333, 'lat': 31.48333}",IN,1253782,Una
6252,"{'lon': 71.033333, 'lat': 20.816669}",IN,1253783,Una
6253,"{'lon': 77.254173, 'lat': 29.584721}",IN,1253785,Un
6254,"{'lon': 82.216667, 'lat': 19.66667}",IN,1253860,Umarkot
6255,"{'lon': 77.699997, 'lat': 19.6}",IN,1253861,Umarkhed
6256,"{'lon': 80.833328, 'lat': 23.533331}",IN,1253863,Umaria
6257,"{'lon': 76.616669, 'lat': 17.83333}",IN,1253870,Umarga
6258,"{'lon': 74.849998, 'lat': 12.8}",IN,1253888,Ullal
6259,"{'lon': 73.150002, 'lat': 19.216669}",IN,1253894,Ulhasnagar
6260,"{'lon': 77.25, 'lat': 10.58333}",IN,1253944,Udumalaippettai
6261,"{'lon': 75.133331, 'lat': 32.933331}",IN,1253956,Udhampur
6262,"{'lon': 77.116669, 'lat': 18.383329}",IN,1253958,Udgir
6263,"{'lon': 78.01667, 'lat': 8.43333}",IN,1253972,Udankudi
6264,"{'lon': 92.133331, 'lat': 26.76667}",IN,1253977,Udalguri
6265,"{'lon': 78.5, 'lat': 23.08333}",IN,1253984,Udaipura
6266,"{'lon': 75.48333, 'lat': 27.716669}",IN,1253985,Udaipur
6267,"{'lon': 91.48333, 'lat': 23.533331}",IN,1253987,Udaipur
6268,"{'lon': 76.166672, 'lat': 29.466669}",IN,1254000,Uchana
6269,"{'lon': 78.283333, 'lat': 27.200001}",IN,1254069,Tundla
6270,"{'lon': 79.73333, 'lat': 21.383329}",IN,1254080,Tumsar
6271,"{'lon': 82.416672, 'lat': 27.549999}",IN,1254102,Tulsipur
6272,"{'lon': 76.083328, 'lat': 18}",IN,1254111,Tuljapur
6273,"{'lon': 89.666672, 'lat': 26.316669}",IN,1254131,Tufanganj
6274,"{'lon': 94.833328, 'lat': 26.283331}",IN,1254133,Tuensang
6275,"{'lon': 75.783333, 'lat': 26.16667}",IN,1254241,Tonk
6276,"{'lon': 79.01667, 'lat': 9.73333}",IN,1254249,Tondi
6277,"{'lon': 75.900002, 'lat': 29.700001}",IN,1254274,Tohana
6278,"{'lon': 76.816673, 'lat': 26.91667}",IN,1254283,Todabhim
6279,"{'lon': 88.373611, 'lat': 22.736389}",IN,1254309,Titagarh
6280,"{'lon': 79.550003, 'lat': 12.66667}",IN,1254322,Cheyyar
6281,"{'lon': 79.633331, 'lat': 13.18333}",IN,1254342,Thiruthani
6282,"{'lon': 77.833328, 'lat': 9.48333}",IN,1254343,Tiruttangal
6283,"{'lon': 75.916672, 'lat': 10.9}",IN,1254346,Tirur
6284,"{'lon': 78.26667, 'lat': 9.83333}",IN,1254347,Tiruppuvanam
6285,"{'lon': 79.349998, 'lat': 13.68333}",IN,1254373,Tirumala
6286,"{'lon': 79.199997, 'lat': 11.95}",IN,1254377,Tirukkoyilur
6287,"{'lon': 77.933327, 'lat': 11.38333}",IN,1254385,Tiruchengode
6288,"{'lon': 78.116669, 'lat': 8.48333}",IN,1254390,Tiruchchendur
6289,"{'lon': 75.23333, 'lat': 13.7}",IN,1254396,Tirthahalli
6290,"{'lon': 76.478333, 'lat': 13.25861}",IN,1254420,Tiptur
6291,"{'lon': 95.366669, 'lat': 27.5}",IN,1254432,Tinsukia
6292,"{'lon': 80.026108, 'lat': 13.11139}",IN,1254436,Tinnanur
6293,"{'lon': 79.650002, 'lat': 12.25}",IN,1254444,Tindivanam
6294,"{'lon': 79.73333, 'lat': 27.98333}",IN,1254481,Tilhar
6295,"{'lon': 78.833298, 'lat': 24.745001}",IN,1254534,Tikamgarh
6296,"{'lon': 76.849998, 'lat': 27.933331}",IN,1254538,Tijara
6297,"{'lon': 94.01667, 'lat': 24.633329}",IN,1254570,Thoubal
6298,"{'lon': 73.216667, 'lat': 22.799999}",IN,1254624,Thasra
6299,"{'lon': 71.626671, 'lat': 24.396111}",IN,1254638,Tharad
6300,"{'lon': 77.416672, 'lat': 29.58639}",IN,1254673,Thana Bhawan
6301,"{'lon': 71.183327, 'lat': 22.566669}",IN,1254675,Than
6302,"{'lon': 88.133331, 'lat': 26.450001}",IN,1254694,Thakurganj
6303,"{'lon': 78.849998, 'lat': 29.200001}",IN,1254695,Thakurdwara
6304,"{'lon': 77.300003, 'lat': 8.96667}",IN,1254744,Thenkasi
6305,"{'lon': 77.48333, 'lat': 10}",IN,1254745,Teni
6306,"{'lon': 75.533333, 'lat': 11.75}",IN,1254780,Thalassery
6307,"{'lon': 76.83889, 'lat': 21.026939}",IN,1254787,Telhara
6308,"{'lon': 76.883331, 'lat': 15.53333}",IN,1254795,Tekkalakote
6309,"{'lon': 85.949997, 'lat': 25.48333}",IN,1254813,Teghra
6310,"{'lon': 74.599998, 'lat': 17.033331}",IN,1254858,Tasgaon
6311,"{'lon': 75.816673, 'lat': 13.71667}",IN,1254880,Tarikere
6312,"{'lon': 79.852783, 'lat': 11.03194}",IN,1254904,Tharangambadi
6313,"{'lon': 75.035103, 'lat': 28.6709}",IN,1254908,Taranagar
6314,"{'lon': 77.98333, 'lat': 11.7}",IN,1254910,Taramangalam
6315,"{'lon': 88.01722, 'lat': 22.885}",IN,1254912,Tarakeswar
6316,"{'lon': 76.949997, 'lat': 28.216669}",IN,1254948,Taoru
6317,"{'lon': 77.583328, 'lat': 17.23333}",IN,1255004,Tandur
6318,"{'lon': 78.933327, 'lat': 28.98333}",IN,1255023,Tanda
6319,"{'lon': 82.650002, 'lat': 26.549999}",IN,1255024,Tanda
